"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"contramelodia1","2306225097",2017-06-08 01:50:48,"872631969418489856","#CunitaYankee #CunitaYankee #CunitaYankee #CunitaYankee #ElPlanCristina #ElPlanCristina #ElPlanCristina #ElPlanCristina bien com<U+00FA>n https://t.co/VwQsavKXTb",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter Web Client","872631953517948928","http://pbs.twimg.com/media/DBw2I2kXsAAr8V2.jpg","https://twitter.com/contramelodia1/status/872631969418489856/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee CunitaYankee CunitaYankee CunitaYankee ElPlanCristina ElPlanCristina ElPlanCristina ElPlanCristina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"danpater","212429369",2017-06-08 01:49:43,"872631695337455617","#CunitaYankee El macrismo es un engendro diab<U+00F3>lico con Macri a la cabeza.",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter for Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CunitaYankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adri2110k","3382569207",2017-06-08 01:49:28,"872631632347488257","#FelizDiaDelPeriodista <f0><U+009F><U+008E><U+0089>
@robdnavarro @Gatosylvestre @VHMok 
Gracias a todo @C5N  x reflejar la realidad

#CunitaYankee 

#ElPlanCristina https://t.co/9IgWaQoXoo",3,6,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter for Android","872631003554230273","http://pbs.twimg.com/ext_tw_video_thumb/872631003554230273/pu/img/F8Uo8swVlJZn5-xw.jpg","https://twitter.com/Adri2110k/status/872631632347488257/video/1",NA,NA,NA,"robdnavarro Gatosylvestre VHMok C5N","593789869 144801356 177342424 152325528",NA,"FelizDiaDelPeriodista CunitaYankee ElPlanCristina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FutbolParaTonto","444268346",2017-06-08 01:48:44,"872631446858596352","El MISERABLE Fiskal que quiere que caiga Macri resulta q es DEUDOR INCOBRABLE y no quiere garpar.
Otra <f0><U+009F><U+0090><U+0080>K
#CunitaYankee #MiercolesIntratable https://t.co/SmqxJFUIoZ",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter for Android","872631442228076544","http://pbs.twimg.com/media/DBw1rF3XYAAynXv.jpg","https://twitter.com/FutbolParaTonto/status/872631446858596352/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee MiercolesIntratable",NA,NA,NA,NA,NA,NA,NA,NA,NA
"danistone8","872217262140403713",2017-06-08 01:47:59,"872631259536777216","#cunitayankee en argentina las prohibieron y en EE.UU son un exito",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cunitayankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LoreArau","254316467",2017-06-08 01:47:21,"872631099192639488","#CambiemosaCambiemos #CunitaYankee #ElPlanCristina  Despu‚s de las elecciones el f<U+00FA>tbol se paga! #tetomanporboludo",2,2,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CambiemosaCambiemos CunitaYankee ElPlanCristina tetomanporboludo",NA,"018f1cde6bad9747","city","Ciudad Aut<U+00F3>noma de Buenos Aires","Ciudad Aut<U+00F3>noma de Buenos Aires, Argentina","AR","Argentina","-58.5317922 -58.353494 -58.353494 -58.5317922 -34.674453 -34.674453 -34.534177 -34.534177","Polygon"
"mariprin2","1450373304",2017-06-08 01:46:48,"872630959740465152","@C5N @robdnavarro #CunitaYankee #ElPlanDeCristina AS<U+00CD> INFORMAN LOS PERIODISTAS DE VERDAD !!!  <f0><U+009F><U+00A4><U+009D><f0><U+009F><U+0091><U+008F><f0><U+009F><U+0091><U+008F>",0,0,FALSE,NA,FALSE,NA,"872630289725566976","152325528","C5N","es","Twitter Web Client",NA,NA,NA,NA,NA,NA,"C5N robdnavarro","152325528 593789869",NA,"CunitaYankee ElPlanDeCristina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FutbolParaTonto","444268346",2017-06-08 01:44:56,"872630490154643459","Los q nunca hacen nada solo aparecen en cartelitos.
Chantazzo Magariea obras de CAMBIEMOS.
#CunitaYankee #PlanCristina
#MiercolesIntratable https://t.co/CKtpMDdWLS",2,4,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter for Android","872630478574145536","http://pbs.twimg.com/media/DBw0y_-XUAA6c6p.jpg","https://twitter.com/FutbolParaTonto/status/872630490154643459/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee PlanCristina MiercolesIntratable",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lauridcc","199146775",2017-06-08 01:44:37,"872630412996202501","#EntreguenLasQunitas cipayos vende patria! #CunitaYankee https://t.co/DAyXRxdhLm",1,1,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter for iPhone","872630403504406528","http://pbs.twimg.com/media/DBw0uoUWAAAhgOB.jpg","https://twitter.com/lauridcc/status/872630412996202501/photo/1",NA,NA,NA,NA,NA,NA,"EntreguenLasQunitas CunitaYankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mariprin2","1450373304",2017-06-08 01:42:50,"872629962628624384","@C5N @robdnavarro #CunitaYankee #ElPlanDeCristina FELIZ  DIA  DEL PERIODISTA !! ASI  SE INFORMA !! <f0><U+009F><U+0091><U+008D><f0><U+009F><U+00A4><U+009D>",0,0,FALSE,NA,FALSE,NA,"872620308720635904","152325528","C5N","es","Twitter Web Client",NA,NA,NA,NA,NA,NA,"C5N robdnavarro","152325528 593789869",NA,"CunitaYankee ElPlanDeCristina",NA,NA,NA,NA,NA,NA,NA,NA,NA
